ModelName;;NetID;;;;;;;;;;;
;Feature Layer Neuron Activation Value;;;;;;;;;;;;
Set;Neuron 0;Neuron 1;Neuron 2;Neuron 3;Neuron 4;Neuron 5;Neuron 6;Neuron 7;Neuron 8;Neuron 9;Neuron 10;Neuron 11;Neuron 12
0;0,08405766;0,8572293;0;0;0;0;0;0;0;0;;;
1;0,08404671;0,8572532;0;0;0;0;0;0;0;0;;;
2;0,08417166;0,8572288;0;0;0;0;0;0;0;0;;;
3;0,08066513;0,8588507;0;0;0;0;0;0;0;0;;;
4;0,08424499;0,8572349;0;0;0;0;0;0;0;0;;;
5;0,08062725;0,858859;0;0;0;0;0;0;0;0;;;
6;0,08443704;0,8572509;0;0;0;0;0;0;0;0;;;
7;0,084552;0,8572604;0;0;0;0;0;0;0;0;;;
8;0,08597813;0,8573787;0;0;0;0;0;0;0;0;;;
9;0,0850214;0,8572994;0;0;0;0;0;0;0;0;;;
10;0,08480184;0,8572811;0;0;0;0;0;0;0;0;;;
11;0,08501391;0,8572987;0;0;0;0;0;0;0;0;;;
12;0,08463936;0,8572676;0;0;0;0;0;0;0;0;;;
13;0,08600383;0,8573807;0;0;0;0;0;0;0;0;;;
14;0,08581726;0,8573653;0;0;0;0;0;0;0;0;;;
15;0,08626033;0,857402;0;0;0;0;0;0;0;0;;;
16;0,08579031;0,857363;0;0;0;0;0;0;0;0;;;
17;0,08649398;0,8574213;0;0;0;0;0;0;0;0;;;
18;0,08568175;0,8573541;0;0;0;0;0;0;0;0;;;
19;0,08672322;0,8574402;0;0;0;0;0;0;0;0;;;
20;0,08746088;0,857501;0;0;0;0;0;0;0;0;;;
21;0,08564168;0,8573508;0;0;0;0;0;0;0;0;;;
22;0,09229834;0,8578971;0;0;0;0;0;0;0;0;;;
23;0,08923568;0,8576469;0;0;0;0;0;0;0;0;;;
24;0,09082384;0,8577769;0;0;0;0;0;0;0;0;;;
25;0,08835581;0,8575747;0;0;0;0;0;0;0;0;;;
26;0,08955145;0,8576728;0;0;0;0;0;0;0;0;;;
27;0,08947624;0,8576667;0;0;0;0;0;0;0;0;;;
28;0,08396579;0,8573939;0;0;0;0;0;0;0;0;;;
29;0,08404926;0,8572477;0;0;0;0;0;0;0;0;;;
30;0,08405936;0,8572258;0;0;0;0;0;0;0;0;;;
31;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
32;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
33;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
34;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
35;0,08434885;0,8572435;0;0;0;0;0;0;0;0;;;
36;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
37;0,08432271;0,8572414;0;0;0;0;0;0;0;0;;;
38;0,08444893;0,8572519;0;0;0;0;0;0;0;0;;;
39;0,08552691;0,8573413;0;0;0;0;0;0;0;0;;;
40;0,08489219;0,8572887;0;0;0;0;0;0;0;0;;;
41;0,08529532;0,8573221;0;0;0;0;0;0;0;0;;;
42;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
43;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
44;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
45;0,08405611;0,8572326;0;0;0;0;0;0;0;0;;;
46;0,08419491;0,8572307;0;0;0;0;0;0;0;0;;;
47;0,0842405;0,8572345;0;0;0;0;0;0;0;0;;;
48;0,08447986;0,8572544;0;0;0;0;0;0;0;0;;;
49;0,08458991;0,8572636;0;0;0;0;0;0;0;0;;;
50;0,0845498;0,8572602;0;0;0;0;0;0;0;0;;;
51;0,08839058;0,8575776;0;0;0;0;0;0;0;0;;;
52;0,08695319;0,8574592;0;0;0;0;0;0;0;0;;;
53;0,09552999;0,8581589;0;0;0;0;0;0;0;0;;;
54;0,08853653;0,8575896;0;0;0;0;0;0;0;0;;;
55;0,108599;0,8591931;0;0;0;0;0;0;0;0;;;
56;0,08406176;0,8572197;0;0;0;0;0;0;0;0;;;
57;0,08512124;0,8573076;0;0;0;0;0;0;0;0;;;
58;0,08690847;0,8574555;0;0;0;0;0;0;0;0;;;
59;0,08401421;0,8573162;0;0;0;0;0;0;0;0;;;
60;0,08419266;0,8572305;0;0;0;0;0;0;0;0;;;
